date,trade_code,high,low,open,close,volume
2020-07-22,ACMELAB,63,62.4,62.8,62.7,81731
2020-07-21,ACMELAB,63.2,62.7,62.9,62.8,62047
2020-07-20,ACMELAB,63.3,61.2,62.2,63,116165
2020-07-19,ACMELAB,63.5,61.7,63.5,62.3,114407
2020-07-16,ACMELAB,64,63.3,64,63.5,121263
2020-07-15,ACMELAB,64.4,63,63.4,64,244354
2020-07-14,ACMELAB,64.3,62.9,63,63.4,184657
2020-07-13,ACMELAB,64.6,63,63.8,63.3,194421
2020-07-12,ACMELAB,64.1,62.4,63,63.8,365920
2020-07-09,ACMELAB,63.5,62.1,63.2,62.8,352739
2020-07-08,ACMELAB,63.3,61.9,62.3,63.2,354604
2020-07-07,ACMELAB,63,61.7,61.7,62.3,190175
2020-07-06,ACMELAB,62.2,61,61.8,61.6,208580
2020-07-05,ACMELAB,62.1,61.6,62.1,61.8,124940
2020-07-02,ACMELAB,63.4,62,63.4,62.3,225686
2020-08-10,ACTIVEFINE,18.3,17.2,18.2,17.4,3796431
2020-08-09,ACTIVEFINE,19,17.8,18.2,18.1,3764577
2020-08-06,ACTIVEFINE,19,17,17.5,18.1,4939054
2020-08-05,ACTIVEFINE,18,16.6,17.1,17.5,4598881
2020-08-04,ACTIVEFINE,16.9,15.6,16.5,16.9,6180477
2020-08-03,ACTIVEFINE,15.4,14.2,14.2,15.4,2384240
2020-07-30,ACTIVEFINE,14,12.9,12.9,14,3550020
2020-07-29,ACTIVEFINE,13,12.5,12.6,12.8,1199749
2020-07-28,ACTIVEFINE,12.6,12.4,12.5,12.5,666145
2020-07-27,ACTIVEFINE,12.6,12.4,12.5,12.4,511083
2020-07-26,ACTIVEFINE,12.6,12.3,12.5,12.5,350791
2020-07-23,ACTIVEFINE,12.5,12.3,12.5,12.3,493994
2020-07-22,ACTIVEFINE,12.8,12.4,12.6,12.5,325053
2020-07-21,ACTIVEFINE,12.6,12.3,12.3,12.6,624031
2020-07-20,ACTIVEFINE,12.5,12.3,12.3,12.4,469308
2020-07-19,ACTIVEFINE,12.5,12.3,12.5,12.3,251285
2020-07-16,ACTIVEFINE,12.6,12.3,12.5,12.5,509412
2020-07-15,ACTIVEFINE,12.9,12.3,12.7,12.5,979271
2020-07-14,ACTIVEFINE,13.3,12.6,13.2,12.7,566425
2020-07-13,ACTIVEFINE,13.6,13,13.5,13.1,940115
2020-07-12,ACTIVEFINE,13.6,13,13.3,13.4,789350
2020-07-09,ACTIVEFINE,13.5,12.3,12.3,13.3,2687788
2020-07-08,ACTIVEFINE,12.3,12.3,12.3,12.3,89746
2020-07-07,ACTIVEFINE,12.3,12.3,12.3,12.3,21847
2020-07-06,ACTIVEFINE,12.3,12.3,12.3,12.3,18506
2020-07-05,ACTIVEFINE,12.3,12.3,12.3,12.3,53500
2020-07-02,ACTIVEFINE,12.3,12.3,12.3,12.3,1100
2020-08-10,ADNTEL,40.3,38.6,38.8,39,1429969
2020-08-09,ADNTEL,39.5,38.2,38.9,38.8,1362645
2020-08-06,ADNTEL,39.5,37.8,38.5,38.5,736938
2020-08-05,ADNTEL,40.5,38,40.5,38.4,1129404
2020-08-04,ADNTEL,41.9,37.7,40.5,40.2,1278310
2020-08-03,ADNTEL,41.4,37.7,37.8,40.1,1171811
2020-07-30,ADNTEL,39,37.1,38.4,37.7,1286372
2020-07-29,ADNTEL,39.7,37.4,39,38.4,1211482
2020-07-28,ADNTEL,39.4,36.7,37.3,38.8,1353885
2020-07-27,ADNTEL,38,36.5,37.8,37.4,1602850
2020-07-26,ADNTEL,38,35.4,36,37.8,1522624
2020-07-23,ADNTEL,36.5,34,34,36.2,1833503
2020-07-22,ADNTEL,34.5,32.8,32.8,34.1,1216653
2020-07-21,ADNTEL,33,32.1,32.1,32.8,634130
2020-07-20,ADNTEL,32.1,32.1,32.1,32.1,11330
2020-07-19,ADNTEL,32.1,32.1,32.1,32.1,11000
2020-07-16,ADNTEL,32.3,32.1,32.1,32.1,202398
2020-07-15,ADNTEL,34,32.1,34,32.1,627524
2020-07-14,ADNTEL,34,32.1,33.6,32.2,435857
2020-07-13,ADNTEL,35,32.1,32.1,33.6,1307770
2020-07-12,ADNTEL,32.1,32.1,32.1,32.1,301199
2020-07-09,ADNTEL,32.1,32.1,32.1,32.1,45105
2020-07-08,ADNTEL,32.1,32.1,32.1,32.1,3205
2020-07-07,ADNTEL,32.1,32.1,32.1,32.1,1001
2020-07-06,ADNTEL,32.1,32.1,32.1,32.1,50
2020-07-05,ADNTEL,32.1,32.1,32.1,32.1,150
2020-07-02,ADNTEL,0,0,0,32.1,0
2020-08-10,ADVENT,25.3,24,25.2,24.2,984970
2020-08-09,ADVENT,25.6,24.5,24.7,24.9,2010251
2020-08-06,ADVENT,24.8,23.9,24.1,24.1,1478836
2020-08-05,ADVENT,25.5,23.7,25,24,1112000
2020-08-04,ADVENT,25.5,23.9,24,24.8,2164251
2020-08-03,ADVENT,24.1,23.3,23.3,23.9,1198226
2020-07-30,ADVENT,23.2,22.8,22.8,23.1,884668
2020-07-29,ADVENT,22.8,22.8,22.8,22.8,652055
2020-07-28,ADVENT,22.9,22.8,22.9,22.8,245595
2020-07-27,ADVENT,23.2,22.8,23,22.8,664438
2020-07-26,ADVENT,23.2,22.9,22.9,23,517217
2020-07-23,ADVENT,22.9,22.8,22.8,22.8,260279
2020-07-22,ADVENT,23.2,22.8,23.2,22.8,691291
2020-07-21,ADVENT,23.5,23,23.1,23.1,378510
2020-07-20,ADVENT,23.4,22.8,23.2,22.8,917683
2020-07-19,ADVENT,23.7,22.8,23.7,23.1,502594
2020-07-16,ADVENT,24.3,23.5,23.6,23.7,1059126
2020-07-15,ADVENT,23.6,22.8,22.8,23.5,1349958
2020-07-14,ADVENT,23,22.8,22.8,22.8,185819
2020-07-13,ADVENT,23.2,22.8,22.8,22.8,1015804
2020-07-12,ADVENT,23,22.8,22.8,22.8,237836
2020-07-09,ADVENT,23.1,22.8,22.8,22.8,536285
2020-07-08,ADVENT,22.8,22.8,22.8,22.8,64673
2020-07-07,ADVENT,22.8,22.8,22.8,22.8,91
2020-07-06,ADVENT,0,0,0,22.8,0
